code,bond_name,bond_price,u1,stock_name,stock_price,u2,PB,convert_price,u3,u4,u5,rank,u6,back_sell_price,130_sell_price,bond_percentage,u7,expire,remaining_time,pretax_return,tax_return,back_sell_return,u8,u9
113515,高能转债,116.33,-0.33%,高能环境,10.97,-0.45%,2.64,9.38,116.95,-0.53%,购买,AA,购买,6.57,12.19,10.30%,会员,2024/7/26,5.255,-0.51%,-0.97%,购买,325.83,???
113506,鼎信转债?!,130.0,0.22%,鼎信通讯,28.28,-0.18%,5.44,21.65,130.62,-0.47%,购买,AA,购买,15.15,28.14,0.10%,会员,2024/4/16,4.978,-3.30%,-3.66%,购买,39.55,???
113018,常熟转债?!,136.6,3.46%,常熟银行,7.9,3.40%,1.63,5.760*,137.15,-0.40%,购买,AA+,购买,-,7.49,3.60%,会员,2024/1/19,4.737,-4.61%,-4.95%,购买,355.48,???
128024,宁行转债,124.381,-0.42%,宁波银行,22.47,-1.10%,1.45,18.01,124.76,-0.30%,购买,AAA,购买,-,23.41,5.80%,会员,2023/12/5,4.614,-2.86%,-3.21%,购买,2943.44,???
123012,万顺转债,117.6,-0.43%,万顺股份,7.63,-0.39%,1.51,6.47,117.93,-0.28%,购买,AA-,购买,4.53,8.41,4.20%,会员,2024/7/20,5.2379999999999995,-1.07%,-1.46%,购买,195.11,???
128058,拓邦转债,115.3,0.24%,拓邦股份,6.52,1.40%,2.86,5.64,115.6,-0.26%,购买,AA,购买,3.95,7.33,8.60%,会员,2025/3/7,5.867999999999999,1.13%,0.46%,购买,512.96,???
110044,广电转债?!,189.9,3.48%,广电网络,13.14,1.39%,2.85,6.91,190.16,-0.14%,购买,AA,购买,4.84,8.98,1.60%,会员,2024/6/27,5.175,-9.66%,-10.05%,购买,16478.58,???
128030,天康转债,137.0,-4.26%,天康生物,11.18,-4.69%,3.42,8.15,137.18,-0.13%,购买,AA,购买,5.71,10.6,6.20%,会员,2023/12/22,4.66,-4.16%,-4.62%,购买,2378.11,???
127010,平银转债,119.81299999999999,-0.98%,平安银行,14.1,-0.21%,1.01,11.77,119.8,0.01%,购买,AAA,购买,-,14.12,10.70%,会员,2025/1/21,5.745,-0.27%,-0.82%,购买,5619.58,???
110040,生益转债,119.81,1.28%,生益科技,13.92,1.02%,4.6,11.62,119.79,0.02%,购买,AA+,购买,-,15.11,6.00%,会员,2023/11/23,4.581,-1.82%,-2.22%,购买,487.05,???
113008,电气转债,119.5,-0.11%,上海电气,6.2,0.00%,1.59,5.190*,119.46,0.03%,购买,AAA,购买,3.63,6.75,4.90%,会员,2021/2/2,1.775,-5.53%,-6.33%,购买,2255.8,???
123006,东财转债?!,161.51,0.75%,东方财富,18.33,0.38%,6.34,11.36,161.36,0.09%,购买,AA,购买,7.95,14.77,0.90%,会员,2023/12/20,4.655,-7.92%,-8.29%,购买,5451.6,???
110041,蒙电转债,112.55,-0.80%,内蒙华电,3.28,2.18%,1.45,2.92,112.33,0.20%,购买,AAA,购买,2.04,3.8,9.80%,会员,2023/12/21,4.658,-0.32%,-0.75%,购买,525.97,???
128021,兄弟转债,113.509,1.35%,兄弟科技,6.05,1.34%,2.35,5.350*,113.08,0.38%,购买,AA,购买,3.75,6.96,9.60%,会员,2023/11/28,4.595,-0.63%,-1.04%,购买,1871.0,???
123013,横河转债,112.34,-0.59%,横河模具,10.36,0.39%,5.62,9.26,111.88,0.41%,购买,A+,购买,6.48,12.04,1.70%,会员,2024/7/26,5.255,0.71%,0.15%,购买,35.74,???
113507,天马转债?!,122.85,1.42%,天马科技,9.0,-1.42%,3.0,7.370*,122.12,0.60%,购买,AA-,购买,5.16,9.58,4.20%,会员,2024/4/17,4.981,-1.71%,-2.17%,购买,10.33,???
128041,盛路转债,178.8,6.11%,盛路通信,12.22,4.18%,3.82,6.88,177.62,0.66%,购买,AA,购买,4.82,8.94,1.00%,会员,2024/7/16,5.227,-8.17%,-8.63%,购买,1441.38,???
127007,湖广转债,111.99,-0.89%,湖北广电,8.81,-2.00%,0.94,7.920*,111.24,0.67%,购买,AA+,购买,5.54,10.3,22.20%,会员,2024/6/28,5.178,0.28%,-0.20%,购买,292.15,???
