,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),
123032,万里转债,102.431,0.00%,万里马,5.82,0.52%,3.6,6.92,84.1,21.80%,购买,A+,购买,4.84,9,9.90%,-,2025/10/10,5.773,4.77%,3.80%,购买,4.71,
128021,兄弟转债,114,0.00%,兄弟科技,4.9,-0.20%,1.93,5.250*,93.33,22.15%,购买,AA,购买,3.67,6.83,11.40%,16.94%,2023/11/28,3.904,-0.97%,-1.43%,购买,0.11,
113524,奇精转债,104.98,0.35%,奇精机械,12.5,-0.48%,2.28,14.56,85.85,22.28%,购买,AA,购买,10.19,18.93,13.60%,5.68%,2024/12/14,4.951,2.42%,1.76%,购买,1.36,
128056,今飞转债,102.3,0.30%,今飞凯达,5.66,0.18%,1.95,6.78,83.48,22.54%,购买,A+,购买,4.75,8.81,17.30%,0.07%,2025/2/28,5.159,3.50%,2.74%,购买,21.66,
110061,川投转债,122.45,0.08%,川投能源?R,9.88,-0.10%,1.66,9.92,99.6,22.94%,购买,AAA,购买,6.94,12.9,9.20%,-,2025/11/10,5.858,-1.69%,-2.02%,购买,0.98,
113532,海环转债,106.53,-0.06%,海峡环保,6.7,0.15%,1.83,7.75,86.45,23.23%,购买,AA,购买,5.42,10.07,15.30%,-,2025/4/1,5.247,1.21%,0.74%,购买,0.11,
123023,迪森转债,101.984,0.30%,迪森股份,5.93,0.51%,1.38,7.19,82.48,23.65%,购买,AA,购买,5.03,9.35,27.90%,0.21%,2025/3/20,5.214,2.43%,1.89%,购买,7.53,
110055,伊力转债,114.8,-0.15%,伊力特?R,16.02,-0.12%,2.61,17.25,92.87,23.61%,购买,AA,购买,12.07,22.43,12.40%,1.29%,2025/3/15,5.2,0.12%,-0.41%,购买,2.41,
110053,苏银转债,119.25,0.24%,江苏银行?R,7.28,0.14%,0.64,7.56,96.3,23.83%,购买,AAA,购买,-,9.83,23.80%,8.66%,2025/3/13,5.195,0.01%,-0.64%,购买,496.69,
123010,博世转债,105.811,0.00%,博世科,10.58,0.00%,2.15,12.380*,85.46,23.81%,购买,AA-,购买,8.67,16.09,11.40%,30.37%,2024/7/5,4.507,1.48%,0.95%,购买,0,
113510,再升转债,110.1,-0.09%,再升科技?R,7.63,-1.04%,3.87,8.59,88.82,23.96%,购买,AA-,购买,6.87,11.17,2.10%,15.30%,2024/6/18,4.46,0.58%,0.05%,购买,5.51,
132021,19中电EB,123,0.00%,中国软件?R,73.7,0.37%,18.93,74.25,99.26,23.97%,购买,AAA,购买,51.98,96.53,5.80%,-,2022/11/28,2.904,-4.72%,-5.15%,购买,0,
128017,金禾转债,125.71,0.00%,金禾实业?R,23.35,-0.55%,3.12,22.96,101.7,23.61%,购买,AA,购买,16.07,29.85,4.60%,10.45%,2023/11/1,3.83,-3.53%,-3.98%,购买,0,
127003,海印转债,104.8,0.40%,海印股份?R,2.54,0.79%,1.53,3.010**,84.39,24.19%,购买,AA,购买,2.11,3.91,16.60%,1.02%,2022/6/8,2.43,3.32%,2.29%,购买,2.82,
110057,现代转债,111.64,0.13%,现代制药,8.89,-0.67%,1.21,9.99,88.99,25.45%,购买,AAA,购买,6.99,12.99,17.70%,2.51%,2025/3/31,5.244,-0.11%,-0.50%,购买,6.47,
113519,长久转债,113,0.61%,长久物流,10.66,0.38%,2.28,11.85,89.96,25.61%,购买,AA,购买,8.29,15.4,11.70%,23.69%,2024/11/7,4.849,1.29%,0.56%,购买,0.56,
113525,台华转债,108.78,0.00%,台华新材,7.02,-0.43%,2.03,8.11,86.56,25.67%,购买,AA,购买,5.68,10.54,9.90%,21.07%,2024/12/16,4.956,1.13%,0.58%,购买,0,
113528,长城转债,102.59,0.01%,长城科技,19.6,-0.25%,1.86,24.03,81.56,25.78%,购买,AA-,购买,16.82,31.24,18.10%,0.24%,2025/3/1,5.162,2.84%,2.19%,购买,62.09,
123024,岱勒转债,102.798,0.49%,岱勒新材,20.33,0.00%,2.98,24.9,81.65,25.90%,购买,A+,购买,17.43,32.37,12.50%,0.06%,2024/3/21,4.216,2.39%,1.80%,购买,4.52,
123007,道氏转债,113,-0.04%,道氏技术,13.46,-0.81%,2.57,15.050*,89.44,26.34%,购买,AA-,购买,10.54,19.57,4.90%,14.54%,2023/12/28,3.986,-0.39%,-0.90%,购买,0.34,
127005,长证转债,121.995,-0.25%,长江证券?R,7.17,-0.14%,1.43,7.43,96.5,26.42%,购买,AAA,购买,-,9.66,12.60%,19.72%,2024/3/12,4.192,-2.55%,-2.96%,购买,36.47,
128065,雅化转债,110.001,-1.10%,雅化集团?R,7.8,0.52%,2.58,8.96,87.05,26.37%,购买,AA,购买,6.27,11.65,10.70%,0.00%,2025/4/16,5.288,0.23%,-0.17%,购买,38.41,
113013,国君转债,124.71,0.02%,国泰君安?R,18.75,0.43%,1.24,19.4,96.65,29.03%,购买,AAA,购买,-,25.22,4.20%,14.48%,2023/7/6,3.507,-3.76%,-4.23%,购买,15.71,
128045,机电转债,118.54,0.00%,中航机电?R,6.99,0.00%,2.62,7.63,91.61,29.40%,购买,AAA,购买,5.34,9.92,8.30%,13.87%,2024/8/27,4.652,-1.66%,-2.04%,购买,0,
128033,迪龙转债,104.66,-0.22%,雪迪龙,7.25,-0.41%,2.1,8.930*,81.19,28.91%,购买,AA,购买,6.25,11.61,11.90%,23.50%,2023/12/27,3.984,1.23%,0.76%,购买,0.45,
123013,横河转债,104.37,0.65%,横河模具,7.41,0.00%,3.35,9.22,80.37,29.86%,购买,A+,购买,6.45,11.99,2.30%,0.21%,2024/7/26,4.564,2.40%,1.75%,购买,0.31,
128080,顺丰转债,120.37,0.48%,顺丰控股?R,37.42,-0.16%,4.16,40.41,92.6,29.99%,购买,AAA,购买,28.29,52.53,3.90%,-,2025/11/18,5.879,-1.66%,-1.94%,购买,457.96,
128064,司尔转债,101.44,-0.26%,司尔特?R,4.8,0.00%,0.91,6.15,78.05,29.97%,购买,AA,购买,4.3,8,23.20%,1.33%,2025/4/8,5.266,2.52%,1.97%,购买,1.07,
123004,铁汉转债,102.251,-0.01%,铁汉生态?R,3.11,0.32%,1.13,3.980*,78.14,30.86%,购买,AA,购买,2.79,5.17,11.40%,11.81%,2023/12/18,3.959,1.85%,1.37%,购买,3.34,
110043,无锡转债,111.7,0.00%,无锡银行,5.56,-0.18%,0.91,6.520*,85.28,30.98%,购买,AA+,购买,-,8.48,29.20%,18.65%,2024/1/30,4.077,-0.43%,-0.87%,购买,0.45,
128072,翔鹭转债,111.121,0.01%,翔鹭钨业,13,-1.52%,3.9,15.36,84.64,31.29%,购买,AA-,购买,10.75,19.97,8.50%,-,2025/8/19,5.63,0.70%,0.21%,购买,3.56,
128067,一心转债,115,-0.04%,一心堂?R,23.94,1.70%,3.05,27.28,87.76,31.04%,购买,AA,购买,19.1,35.46,4.40%,1.38%,2025/4/19,5.296,-0.30%,-0.75%,购买,0.12,
113544,桃李转债,119.68,0.00%,桃李面包?R,43.26,0.60%,7.9,47.54,91,31.52%,购买,AA,购买,33.28,61.8,3.50%,-,2025/9/19,5.715,-0.66%,-1.13%,购买,0.84,
113026,核能转债,108.79,-0.12%,中国核电?R,5.11,0.39%,1.62,6.2,82.42,31.99%,购买,AAA,购买,4.34,8.06,9.80%,0.13%,2025/4/14,5.282,0.21%,-0.14%,购买,1.52,
113021,中信转债,114.35,0.02%,中信银行?R,6.23,0.32%,0.65,7.22,86.29,32.52%,购买,AAA,购买,-,9.39,13.10%,1.00%,2025/3/3,5.167,0.81%,0.16%,购买,10.52,
