,,,,,,涨跌,,,价值,,价值,,价值,触发价,触发价,占比,持仓,,年限,税前收益,税后收益,收益,(万元),,,
110059,浦发转债,107.02,-0.07%,浦发银行?R,10.22,-0.20%,0.56,15.05,67.91,57.59%,购买,AAA,购买,-,19.57,16.70%,-,2025/10/27,5.553,500,1.79%,1.21%,购买,16188,164.61,
113009,广汽转债,114.41,0.47%,广汽集团?R,10.41,1.26%,1.33,14.41,72.24,58.37%,购买,AAA,购买,10.09,18.73,2.40%,10.79%,2022/1/22,1.789,25.526,-3.45%,-4.20%,购买,382.4,172.78,
128095,恩捷转债,119.829,-0.39%,恩捷股份?R,48.77,-0.47%,8.63,64.61,75.48,58.76%,购买,AA,购买,45.23,83.99,4.10%,-,2026/2/11,5.847,16,-0.67%,-1.13%,购买,1636.45,178.59,
113508,新凤转债,107.26,0.29%,新凤鸣,10.71,0.00%,1.29,15.91,67.32,59.33%,购买,AA,购买,11.14,20.68,14.40%,30.59%,2024/4/25,4.047,21.521,1.28%,0.69%,购买,1193.76,166.59,
128072,翔鹭转债,105.806,0.11%,翔鹭钨业,10.04,2.24%,3.01,15.36,65.36,61.88%,购买,AA-,购买,10.75,19.97,11.00%,0.00%,2025/8/19,5.364,3.019,1.68%,1.15%,购买,504.79,167.69,
113012,骆驼转债,107.62,0.07%,骆驼股份?R,8.79,0.23%,1.2,13.29*,66.14,62.72%,购买,AA,购买,9.3,17.28,6.70%,10.67%,2023/3/24,2.956,5.096,0.06%,-0.44%,购买,134.08,170.34,
123024,岱勒转债,106.05,-0.62%,岱勒新材,16.19,-0.31%,2.37,24.9,65.02,63.10%,购买,A+,购买,17.43,32.37,15.70%,15.68%,2024/3/21,3.951,2.099,1.64%,1.03%,购买,471.48,169.15,
113024,核建转债,105.67,0.04%,中国核建?R,6.29,0.16%,1.09,9.87,63.73,65.81%,购买,AAA,购买,6.91,12.83,18.10%,0.07%,2025/4/7,4.997,29.96,0.77%,0.40%,购买,375.95,171.48,
128052,凯龙转债,253.999,-2.68%,凯龙股份?R,10.16,-0.29%,2.23,6.77,150.07,69.25%,购买,AA,购买,4.74,8.8,0.80%,0.09%,2024/12/21,4.704,0.323,-15.73%,-16.17%,购买,46047.5,323.25,
128022,众信转债,105.712,0.39%,众信旅游,4.86,1.25%,1.75,7.91*,61.44,72.06%,购买,AA,购买,5.54,10.28,16.40%,32.26%,2023/12/1,3.647,6.999,1.06%,0.56%,购买,635.62,177.77,
113014,林洋转债,105.98,0.08%,林洋能源?R,5.26,0.96%,0.9,8.59,61.23,73.09%,购买,AA,购买,6.01,11.17,32.40%,29.06%,2023/10/27,3.551,30,1.16%,0.61%,购买,587.48,179.07,
132004,15国盛EB,100.83,0.15%,上海建工?R,3.23,0.00%,0.89,5.55***,58.2,73.99%,购买,AAA,购买,3.88,7.21,17.40%,23.73%,2021/11/5,1.575,50,2.34%,1.72%,购买,1027.18,174.82,
127004,模塑转债,217.664,-2.88%,模塑科技?R,9.33,0.76%,3.65,7.59,122.92,77.08%,购买,AA,购买,5.31,9.87,1.50%,7.69%,2023/6/2,3.148,1.316,-18.80%,-19.41%,购买,106275.48,294.74,
128014,永东转债,104.998,0.09%,永东股份,7.23,1.54%,1.86,12.64,57.2,83.56%,购买,AA-,购买,8.85,16.43,12.40%,14.12%,2023/4/17,3.022,3.37,2.31%,1.53%,购买,221.47,188.56,
123013,横河转债,146.838,-3.23%,横河模具,7.21,0.14%,3.26,9.22,78.2,87.77%,购买,A+,购买,6.45,11.99,2.40%,0.21%,2024/7/26,4.299,0.383,-5.46%,-6.06%,购买,7282.3,234.61,
132009,17中油EB,101.62,-0.08%,中国石油?R,4.64,0.00%,0.69,8.54,54.33,88.41%,购买,AAA,购买,5.98,11.1,1.20%,19.80%,2022/7/13,2.26,100,2.43%,1.74%,购买,2468.62,190.03,
113502,嘉澳转债,110.18,-0.37%,嘉澳环保,26.36,-0.90%,2.48,45.04,58.53,88.25%,购买,AA-,购买,31.53,58.55,9.60%,1.49%,2023/11/9,3.586,1.847,0.54%,-0.09%,购买,152.77,198.43,
128035,大族转债,109.66,0.56%,大族激光?R,30.44,-1.84%,3.72,52.3,58.2,88.42%,购买,AA+,购买,36.61,67.99,7.10%,35.60%,2024/2/6,3.83,22.997,-0.40%,-0.79%,购买,413.65,198.08,
110045,海澜转债,102,0.00%,海澜之家?R,6.48,-0.92%,2.17,12.02,53.91,89.20%,购买,AA+,购买,8.41,15.63,10.30%,18.73%,2024/7/13,4.263,29.498,2.17%,1.65%,购买,913.9,191.2,
132013,17宝武EBQ,102.34,0.17%,宝钢股份?R,4.92,-0.20%,0.63,9.05,54.36,88.96%,购买,AAA,购买,-,-,13.70%,18.12%,2020/11/24,0.627,150,1.99%,0.75%,购买,19816.62,191.3,
113016,小康转债,102.62,0.60%,小康股份?R,9.14,2.35%,1.66,17.12*,53.39,92.21%,购买,AA,购买,11.98,22.26,10.30%,1.18%,2023/11/6,3.578,8.812,2.08%,1.53%,购买,960.31,194.83,
132015,18中油EB,101.68,0.14%,中国石油?R,4.64,0.00%,0.69,8.98,51.67,97.30%,购买,AAA,购买,6.29,11.67,2.40%,11.48%,2023/2/1,2.816,200,2.51%,1.88%,购买,8298.58,198.98,
128032,双环转债,103.148,0.08%,双环传动,5.04,0.00%,0.94,9.93,50.76,103.21%,购买,AA,购买,6.95,12.91,28.90%,26.26%,2023/12/25,3.712,9.998,1.86%,1.33%,购买,284.55,206.36,
128023,亚太转债,101.812,0.16%,亚太股份,4.94,2.07%,1.34,10.34,47.78,113.08%,购买,AA,购买,7.24,13.44,27.40%,9.48%,2023/12/4,3.655,9.994,2.77%,2.13%,购买,881.18,214.89,
128037,岩土转债,104.099,0.47%,中化岩土,3.72,0.81%,1.67,8.01,46.44,124.16%,购买,AA,购买,5.61,10.41,9.00%,13.88%,2024/3/15,3.934,6.032,1.98%,1.40%,购买,580.34,228.26,
132007,16凤凰EBQ,102.9,0.29%,凤凰传媒?R,6.64,0.45%,1.23,14.8,44.86,130.37%,购买,AAA,购买,11.84,19.24,29.60%,24.62%,2021/10/31,1.562,50,2.27%,1.40%,购买,5144.68,233.27,
132008,17山高EB,104,0.00%,山东高速?R,4.17,0.00%,0.71,9.4,44.36,138.14%,购买,AAA,购买,6.58,12.22,12.50%,19.23%,2022/4/24,2.041,25,2.56%,1.52%,购买,0,242.14,
128010,顺昌转债,106.95,-0.28%,澳洋顺昌,4.13,0.49%,1.94,9.26,44.6,139.80%,购买,AA,购买,6.48,12.04,12.60%,21.51%,2022/1/22,1.789,5.095,1.39%,0.38%,购买,426.62,246.75,
128013,洪涛转债,103.454,0.02%,洪涛股份?R,3.32,-0.60%,1.26,8.00*,41.5,149.29%,购买,AA,购买,5.6,10.4,28.90%,18.20%,2022/7/29,2.304,11.999,3.29%,2.35%,购买,1036.03,252.74,
113503,泰晶转债?!,357,1.44%,泰晶科技,25.6,-1.95%,5.89,17.9,143.02,149.62%,购买,AA,购买,12.53,23.27,0.70%,1.07%,2023/12/15,3.685,0.316,-27.26%,-27.64%,购买,94667.99,506.62,
132011,17浙报EBQ,98.99,0.34%,浙数文化?R,9.27,-0.11%,1.52,24.18,38.34,159.88%,购买,AAA,购买,16.93,31.43,19.90%,26.17%,2022/8/17,2.356,24,2.69%,2.19%,购买,474.68,258.87,
128062,亚药转债,90.41,-0.10%,亚太药业?R,5.44,-2.33%,4.61,16.25,33.48,170.04%,购买,A+,购买,11.38,21.12,33.00%,0.20%,2025/4/2,4.984,9.645,5.92%,5.17%,购买,3173.29,260.45,
